event_id,research_stratum,no_change_layers,evidence_anchors_present
iran-ransomware-ofac-2018,S1_ofac_sdn,l4_frontend,body_hash+body_path
irgc-ransomware-ofac-2022,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
lazarus-entity-ofac-2019,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
lazarus-laundering-ofac-2020,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
lockbit-leader-ofac-2024,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
matveev-ofac-2023,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
pertsev-nl-arrest-2022,S3_doj_sec_cftc_fiod,offramp_cex,body_hash+body_path;scope_descriptor
russian-cybercrime-infra-ofac-2025,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
sec-v-uniswap-wells-notice-2024,S3_doj_sec_cftc_fiod,l4_frontend,body_hash+body_path;scope_descriptor
sichuan-silence-ofac-2024,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
sinbad-ofac-2023,S1_ofac_sdn,l4_frontend,body_hash+body_path
storm-semenov-doj-2023,S3_doj_sec_cftc_fiod,offramp_cex,body_hash+body_path;scope_descriptor
zservers-ofac-2025,S1_ofac_sdn,offramp_cex,body_hash+body_path;scope_descriptor
